"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"gene_name"
"ENSMUSG00000000001.5";5219,11837552412;-0,153953707710756;0,217526642459271;-0,707746444160661;0,47910272992137;0,999566129306685;" Gnai3"
"ENSMUSG00000000028.16";124,334241405015;-0,0341445399497111;0,177982154134395;-0,191842491826054;0,847865585436774;0,999566129306685;" Cdc45"
"ENSMUSG00000000031.19";844,540191242443;1,59183136473369;1,15826033627257;1,37432951373989;0,169339407723129;0,999566129306685;" H19"
"ENSMUSG00000000037.18";157,932765912693;0,0440001011387794;0,166590193147555;0,264121796772316;0,791686068689255;0,999566129306685;" Scml2"
"ENSMUSG00000000049.12";15,6760188658878;0,348311988989524;0,446544900009119;0,7800156019751;0,435381691747853;0,999566129306685;" Apoh"
"ENSMUSG00000000056.8";793,895548818038;0,248939021586885;0,193444480588014;1,28687580452119;0,198137579834978;0,999566129306685;" Narf"
"ENSMUSG00000000058.7";3907,48516188434;-0,063356741701425;0,112438434426449;-0,563479401190609;0,573108482849236;0,999566129306685;" Cav2"
"ENSMUSG00000000078.8";3025,99097179991;-0,038655245929374;0,128627764739387;-0,300520233774516;0,763780364958802;0,999566129306685;" Klf6"
"ENSMUSG00000000085.17";1112,88425593083;0,116304477657165;0,113005982393046;1,02918867828295;0,303391021460731;0,999566129306685;" Scmh1"
"ENSMUSG00000000088.8";402,807896886942;0,117422917468035;0,247821025455833;0,47382144937885;0,635627237603346;0,999566129306685;" Cox5a"
"ENSMUSG00000000093.7";41,0787115306832;-0,62020423631395;0,304700517491414;-2,03545514599077;0,0418050973774195;0,999566129306685;" Tbx2"
"ENSMUSG00000000120.7";191,034848711184;0,295062012386873;0,201254919429383;1,46611080724616;0,142618101965098;0,999566129306685;" Ngfr"
"ENSMUSG00000000125.6";1632,35304186633;0,377198047313972;0,307730744570785;1,22574053444052;0,220296331281988;0,999566129306685;" Wnt3"
"ENSMUSG00000000126.12";64,8145460333447;0,406399806904668;0,253458675849897;1,60341643678966;0,108842744533441;0,999566129306685;" Wnt9a"
