"";"Gene";"B1";"B2";"B3";"B4";"Condition"
"1";"ENSMUSG00000001506.11";384193,05916694;471125,927133538;232871,887454889;440277,888623171;"FLASH"
"2";"ENSMUSG00000029661.17";156266,657812374;194798,067938612;96022,3132210039;172945,233017947;"FLASH"
"3";"ENSMUSG00000051747.17";63810,5327290137;40864,3527983417;135755,341472584;49855,4772138082;"FLASH"
"4";"ENSMUSG00000064351.1";199799,757522966;207097,604651459;272435,043073005;189968,504326606;"FLASH"
"5";"ENSMUSG00000119584.1";28819,4904483883;8467,29962383689;783,401985175454;1353,4402983916;"FLASH"
"6";"ENSMUSG00000018593.14";84595,0159795361;116066,517605604;60045,4580402128;98089,6457368349;"FLASH"
"7";"ENSMUSG00000064341.1";67035,8847469291;71954,1265917694;103774,107489539;61980,9864426624;"FLASH"
"8";"ENSMUSG00002076161.1";159575,297864804;188053,796587435;149409,306176144;148105,843986077;"FLASH"
"9";"ENSMUSG00000064367.1";65747,2083447654;70357,4358055602;99111,6458476646;60422,6503213199;"FLASH"
"10";"ENSMUSG00000064345.1";40863,306340485;40662,7504263456;65196,7552922142;34758,9785521653;"FLASH"
"11";"ENSMUSG00000030730.13";16027,9127519111;7205,7167804123;35895,5331754096;10085,9498903057;"FLASH"
"12";"ENSMUSG00000031972.6";14652,2873027264;5809,73235565697;33449,5479691005;7798,25983038547;"FLASH"
"13";"ENSMUSG00000064370.1";61848,2300257189;63299,5607646117;87032,6173149939;60140,6835924883;"FLASH"
"14";"ENSMUSG00000057003.13";16998,9963191665;7362,51862529817;34484,1445931211;11770,2311505264;"FLASH"
"15";"ENSMUSG00000026950.19";15385,4050570823;7700,31459970944;31758,0502571646;10704,396915543;"FLASH"
"16";"ENSMUSG00000064363.1";33211,790202638;34413,076894466;50376,2716003482;30588,6906327462;"FLASH"
"17";"ENSMUSG00000092341.6";111655,389918721;108600,06175741;104580,098920654;124555,982794063;"FLASH"
"18";"ENSMUSG00000017737.3";19053,7395882415;24807,8438820288;10167,9614062046;25621,3767598298;"FLASH"
"19";"ENSMUSG00000022483.18";11966,9346294676;13498,3988183177;2098,1077388436;16588,102657162;"FLASH"
"20";"ENSMUSG00000026193.16";20807,3645786858;22740,7475611619;14063,2854639801;25380,7651512269;"FLASH"
"21";"ENSMUSG00000050578.11";12268,9681612247;16917,5750473719;6556,36078942687;20436,9485057131;"FLASH"
"22";"ENSMUSG00000076617.10";12206,7309486203;8894,69665246865;9373,71648697827;20046,8945308294;"FLASH"
"23";"ENSMUSG00000031375.19";27693,7291027481;36796,4649367312;23667,4142995394;32014,5023915379;"FLASH"
"24";"ENSMUSG00000030695.17";9216,59898422478;5581,24966739471;16333,9765698001;6746,52393184367;"FLASH"
"25";"ENSMUSG00000028364.16";19220,3156572711;22574,985610854;13444,3346452429;23437,0745004812;"FLASH"
"26";"ENSMUSG00000061816.16";5357,89180274597;2507,03749708948;12476,6027812026;3107,27335172404;"FLASH"
"27";"ENSMUSG00000056328.15";7397,07576866978;2855,58559800721;13981,9634585986;3890,20096877974;"FLASH"
"28";"ENSMUSG00000032648.15";4999,11257714357;2285,72289316486;11085,0929113408;2880,76007956267;"FLASH"
"29";"ENSMUSG00000001348.16";10529,0719676784;12140,046836335;5080,81818067079;13697,9436866383;"FLASH"
"30";"ENSMUSG00000061723.20";4242,1982414977;1740,94848350424;10007,1245511167;2191,8213721175;"FLASH"
"31";"ENSMUSG00000005716.17";4081,11369122724;1816,21336904946;9714,36533174315;2235,99615963445;"FLASH"
"32";"ENSMUSG00000029580.15";88372,2656327531;100457,117949851;86889,8520166575;90893,8548170529;"FLASH"
"33";"ENSMUSG00000029304.15";9373,10726886256;11518,2155200448;5696,15468805774;15259,0994752691;"FLASH"
"34";"ENSMUSG00000027022.15";4526,84196385062;2562,59015070619;9492,98876153786;3190,92348127741;"FLASH"
"35";"ENSMUSG00000028111.5";9233,98879362898;11672,329333304;5219,96916765698;11492,9638671753;"FLASH"
"36";"ENSMUSG00000006457.5";3205,2164491316;1361,93602415154;7896,36672254705;2174,90336838761;"FLASH"
"37";"ENSMUSG00000037742.15";64085,1086669747;64624,7603565329;56279,3456132101;58564,4895783197;"FLASH"
"38";"ENSMUSG00000029306.9";6938,53395227488;8718,18257565428;3528,47145572105;8949,62397311443;"FLASH"
"39";"ENSMUSG00000064368.1";9422,53093769554;10736,8943272421;15451,1810224917;8990,97909334307;"FLASH"
"40";"ENSMUSG00000027966.21";9319,10733439689;12053,1338137411;6042,22499984805;9879,17428916255;"FLASH"
"41";"ENSMUSG00000074483.3";10865,885118244;14770,7337882488;8826,14831740927;12261,7931477894;"FLASH"
"42";"ENSMUSG00000040249.16";17869,4020425029;18309,9754299584;15030,1137501828;20623,9864358381;"FLASH"
"43";"ENSMUSG00000020061.19";2153,59060674091;947,979153652849;5881,38814476013;1039,51734029243;"FLASH"
"44";"ENSMUSG00000070047.15";8327,88819835763;10603,3887564535;6297,9375278811;10425,2498539997;"FLASH"
"45";"ENSMUSG00000061353.12";30955,691245725;35760,6767499422;29943,6659593188;36190,4296455336;"FLASH"
"46";"ENSMUSG00000054263.13";9071,07373710544;11321,0932007597;7098,50749197044;12265,5527041738;"FLASH"
"47";"ENSMUSG00000030399.3";2966,33538310551;1070,73259793493;6017,82839823359;1670,18292377907;"FLASH"
"48";"ENSMUSG00000030592.20";3512,74149964794;1661,203545248;6814,78405097264;2284,87039263192;"FLASH"
"49";"ENSMUSG00000025969.16";7516,97392824609;9745,01065702116;5521,76416540623;9607,54634038813;"FLASH"
"50";"ENSMUSG00000057666.19";10242,5977390724;7540,82472319696;12735,0260427484;8788,90293768043;"FLASH"
"51";"ENSMUSG00000039084.9";3181,41986784164;4251,57002276254;1255,97319422593;5192,88725598165;"FLASH"
"52";"ENSMUSG00000026042.17";9435,34448146706;11973,3888754849;6859,05936501369;9195,87491629402;"FLASH"
"53";"ENSMUSG00000024330.18";5443,92559664042;6281,92991139899;2688,14406677852;5775,61849556692;"FLASH"
"54";"ENSMUSG00000023092.17";1786,57410299968;1249,93470637592;5088,95038120895;1296,10706352918;"FLASH"
"55";"ENSMUSG00000030672.13";2440,0648353469;1016,07595486043;5182,9224763165;1351,56052019939;"FLASH"
"56";"ENSMUSG00000027559.6";9405,14112829135;7471,83191144718;12176,6149391285;9927,10863306392;"FLASH"
"57";"ENSMUSG00000028464.17";2520,60711048213;1067,14855576611;5238,04072440843;1227,49515951349;"FLASH"
"58";"ENSMUSG00000038170.16";3448,67378079037;2182,68168081129;6603,34683698065;2626,05013451814;"FLASH"
"59";"ENSMUSG00000095079.7";2808,9118453412;2136,98514315883;5436,8278486744;4893,06263432406;"FLASH"
"60";"ENSMUSG00000052305.7";53064,545770346;43148,2836704221;42853,9861025562;31404,5143681656;"FLASH"
"61";"ENSMUSG00000060600.16";2592,91210747853;1160,33365215543;5180,21174280378;1355,32007658381;"FLASH"
"62";"ENSMUSG00000070436.13";6546,80561411717;7734,36300031323;4176,33676526061;7382,82884990694;"FLASH"
"63";"ENSMUSG00000031097.16";1918,37055322097;882,570384071887;4704,92980024059;1073,35334775222;"FLASH"
