"";"gene_id";"gene_name"
"1";"ENSMUSG00000026131.22";" Dst"
"2";"ENSMUSG00000051747.17";" Ttn"
"3";"ENSMUSG00000015932.9";" Dstn"
"4";"ENSMUSG00000027912.9";" Lce1m"
"5";"ENSMUSG00000045962.17";" Wnk1"
"6";"ENSMUSG00000045128.10";" Rpl18a"
"7";"ENSMUSG00000034994.11";" Eef2"
"8";"ENSMUSG00000017466.11";" Timp2"
"9";"ENSMUSG00000062825.16";" Actg1"
"10";"ENSMUSG00000025153.10";" Fasn"
"11";"ENSMUSG00000061477.5";" Rps7"
"12";"ENSMUSG00000021950.16";" Anxa8"
"13";"ENSMUSG00000034634.8";" Ly6d"
"14";"ENSMUSG00000061397.9";" Krt79"
"15";"ENSMUSG00000092586.9";" Ly6g6c"
"16";"ENSMUSG00000023944.15";" Hsp90ab1"
"17";"ENSMUSG00000037071.4";" Scd1"
"18";"ENSMUSG00000064363.1";" mt-Nd4"
