"";"boot";"cols";"Accuracy";"acc_teste";"mean_acc_test"
"1";1;1;1;0,5;0,525
"2";1;2;1;0,55;0,525
"3";1;3;1;0,5;0,525
"4";1;4;1;0,55;0,525
"5";2;1;1;0,5;0,5
"6";2;2;1;0,5;0,5
"7";2;3;1;0,4;0,5
"8";2;4;1;0,6;0,5
"9";3;1;1;0,5;0,55
"10";3;2;1;0,6;0,55
"11";3;3;1;0,5;0,55
"12";3;4;1;0,6;0,55
"13";4;1;1;0,6;0,55
"14";4;2;1;0,5;0,55
"15";4;3;1;0,5;0,55
"16";4;4;1;0,6;0,55
"17";5;1;1;0,4;0,45
"18";5;2;1;0,5;0,45
"19";5;3;1;0,5;0,45
"20";5;4;1;0,35;0,45
"21";6;1;1;0,4;0,525
"22";6;2;1;0,5;0,525
"23";6;3;1;0,55;0,525
"24";6;4;1;0,55;0,525
"25";7;1;1;0,65;0,575
"26";7;2;1;0,35;0,575
"27";7;3;1;0,6;0,575
"28";7;4;1;0,55;0,575
"29";8;1;1;0,4;0,45
"30";8;2;1;0,5;0,45
"31";8;3;1;0,4;0,45
"32";8;4;1;0,55;0,45
"33";9;1;1;0,45;0,475
"34";9;2;1;0,5;0,475
"35";9;3;1;0,55;0,475
"36";9;4;1;0,4;0,475
"37";10;1;1;0,5;0,475
"38";10;2;1;0,45;0,475
"39";10;3;1;0,6;0,475
"40";10;4;1;0,4;0,475
"41";11;1;1;0,35;0,5
"42";11;2;1;0,5;0,5
"43";11;3;1;0,55;0,5
"44";11;4;1;0,5;0,5
"45";12;1;1;0,65;0,575
"46";12;2;1;0,7;0,575
"47";12;3;1;0,5;0,575
"48";12;4;1;0,5;0,575
"49";13;1;1;0,65;0,525
"50";13;2;1;0,45;0,525
"51";13;3;1;0,55;0,525
"52";13;4;1;0,5;0,525
"53";14;1;1;0,5;0,45
"54";14;2;1;0,55;0,45
"55";14;3;1;0,4;0,45
"56";14;4;1;0,35;0,45
"57";15;1;1;0,45;0,5
"58";15;2;1;0,5;0,5
"59";15;3;1;0,5;0,5
"60";15;4;1;0,55;0,5
"61";16;1;1;0,5;0,5
"62";16;2;1;0,5;0,5
"63";16;3;1;0,5;0,5
"64";16;4;1;0,6;0,5
"65";17;1;1;0,45;0,5
"66";17;2;1;0,5;0,5
"67";17;3;1;0,5;0,5
"68";17;4;1;0,55;0,5
"69";18;1;1;0,55;0,475
"70";18;2;1;0,45;0,475
"71";18;3;1;0,4;0,475
"72";18;4;1;0,5;0,475
"73";19;1;1;0,45;0,45
"74";19;2;1;0,4;0,45
"75";19;3;1;0,45;0,45
"76";19;4;1;0,5;0,45
"77";20;1;1;0,65;0,6
"78";20;2;1;0,5;0,6
"79";20;3;1;0,55;0,6
"80";20;4;1;0,75;0,6
"81";21;1;1;0,45;0,5
"82";21;2;1;0,55;0,5
"83";21;3;1;0,5;0,5
"84";21;4;1;0,5;0,5
"85";22;1;1;0,4;0,525
"86";22;2;1;0,5;0,525
"87";22;3;1;0,55;0,525
"88";22;4;1;0,65;0,525
"89";23;1;1;0,5;0,5
"90";23;2;1;0,5;0,5
"91";23;3;1;0,5;0,5
"92";23;4;1;0,7;0,5
"93";24;1;1;0,35;0,4
"94";24;2;1;0,35;0,4
"95";24;3;1;0,45;0,4
"96";24;4;1;0,5;0,4
"97";25;1;1;0,55;0,525
"98";25;2;1;0,5;0,525
"99";25;3;1;0,45;0,525
"100";25;4;1;0,55;0,525
"101";26;1;1;0,5;0,5
"102";26;2;1;0,5;0,5
"103";26;3;1;0,6;0,5
"104";26;4;1;0,45;0,5
"105";27;1;1;0,6;0,575
"106";27;2;1;0,55;0,575
"107";27;3;1;0,6;0,575
"108";27;4;1;0,55;0,575
"109";28;1;1;0,35;0,5
"110";28;2;1;0,5;0,5
"111";28;3;1;0,5;0,5
"112";28;4;1;0,55;0,5
"113";29;1;1;0,3;0,45
"114";29;2;1;0,5;0,45
"115";29;3;1;0,5;0,45
"116";29;4;1;0,4;0,45
"117";30;1;1;0,35;0,425
"118";30;2;1;0,5;0,425
"119";30;3;1;0,55;0,425
"120";30;4;1;0,35;0,425
"121";31;1;1;0,3;0,425
"122";31;2;1;0,5;0,425
"123";31;3;1;0,55;0,425
"124";31;4;1;0,35;0,425
"125";32;1;1;0,45;0,5
"126";32;2;1;0,45;0,5
"127";32;3;1;0,55;0,5
"128";32;4;1;0,55;0,5
"129";33;1;1;0,45;0,55
"130";33;2;1;0,55;0,55
"131";33;3;1;0,55;0,55
"132";33;4;1;0,6;0,55
"133";34;1;1;0,45;0,475
"134";34;2;1;0,45;0,475
"135";34;3;1;0,6;0,475
"136";34;4;1;0,5;0,475
"137";35;1;1;0,6;0,5
"138";35;2;1;0,55;0,5
"139";35;3;1;0,45;0,5
"140";35;4;1;0,35;0,5
"141";36;1;1;0,7;0,55
"142";36;2;1;0,45;0,55
"143";36;3;1;0,55;0,55
"144";36;4;1;0,55;0,55
"145";37;1;1;0,35;0,375
"146";37;2;1;0,35;0,375
"147";37;3;1;0,55;0,375
"148";37;4;1;0,4;0,375
"149";38;1;1;0,55;0,475
"150";38;2;1;0,5;0,475
"151";38;3;1;0,45;0,475
"152";38;4;1;0,35;0,475
"153";39;1;1;0,55;0,575
"154";39;2;1;0,55;0,575
"155";39;3;1;0,6;0,575
"156";39;4;1;0,7;0,575
"157";40;1;1;0,4;0,425
"158";40;2;1;0,4;0,425
"159";40;3;1;0,45;0,425
"160";40;4;1;0,5;0,425
"161";41;1;1;0,4;0,45
"162";41;2;1;0,45;0,45
"163";41;3;1;0,45;0,45
"164";41;4;1;0,55;0,45
"165";42;1;1;0,3;0,475
"166";42;2;1;0,5;0,475
"167";42;3;1;0,45;0,475
"168";42;4;1;0,55;0,475
"169";43;1;1;0,5;0,475
"170";43;2;1;0,45;0,475
"171";43;3;1;0,55;0,475
"172";43;4;1;0,45;0,475
"173";44;1;1;0,45;0,5
"174";44;2;1;0,55;0,5
"175";44;3;1;0,55;0,5
"176";44;4;1;0,45;0,5
"177";45;1;1;0,25;0,375
"178";45;2;1;0,35;0,375
"179";45;3;1;0,4;0,375
"180";45;4;1;0,45;0,375
"181";46;1;1;0,55;0,525
"182";46;2;1;0,5;0,525
"183";46;3;1;0,45;0,525
"184";46;4;1;0,6;0,525
"185";47;1;1;0,45;0,425
"186";47;2;1;0,4;0,425
"187";47;3;1;0,5;0,425
"188";47;4;1;0,35;0,425
"189";48;1;1;0,6;0,475
"190";48;2;1;0,45;0,475
"191";48;3;1;0,4;0,475
"192";48;4;1;0,5;0,475
"193";49;1;1;0,4;0,375
"194";49;2;1;0,35;0,375
"195";49;3;1;0,5;0,375
"196";49;4;1;0,35;0,375
"197";50;1;1;0,4;0,425
"198";50;2;1;0,4;0,425
"199";50;3;1;0,45;0,425
"200";50;4;1;0,45;0,425
"201";51;1;1;0,65;0,525
"202";51;2;1;0,4;0,525
"203";51;3;1;0,6;0,525
"204";51;4;1;0,45;0,525
"205";52;1;1;0,45;0,5
"206";52;2;1;0,5;0,5
"207";52;3;1;0,5;0,5
"208";52;4;1;0,5;0,5
"209";53;1;1;0,8;0,625
"210";53;2;1;0,65;0,625
"211";53;3;1;0,6;0,625
"212";53;4;1;0,6;0,625
"213";54;1;1;0,3;0,45
"214";54;2;1;0,5;0,45
"215";54;3;1;0,4;0,45
"216";54;4;1;0,6;0,45
"217";55;1;1;0,5;0,525
"218";55;2;1;0,6;0,525
"219";55;3;1;0,55;0,525
"220";55;4;1;0,5;0,525
"221";56;1;1;0,5;0,475
"222";56;2;1;0,5;0,475
"223";56;3;1;0,45;0,475
"224";56;4;1;0,45;0,475
"225";57;1;1;0,7;0,6
"226";57;2;1;0,5;0,6
"227";57;3;1;0,55;0,6
"228";57;4;1;0,65;0,6
"229";58;1;1;0,35;0,45
"230";58;2;1;0,6;0,45
"231";58;3;1;0,4;0,45
"232";58;4;1;0,5;0,45
"233";59;1;1;0,5;0,55
"234";59;2;1;0,4;0,55
"235";59;3;1;0,6;0,55
"236";59;4;1;0,7;0,55
"237";60;1;1;0,6;0,525
"238";60;2;1;0,5;0,525
"239";60;3;1;0,55;0,525
"240";60;4;1;0,5;0,525
"241";61;1;1;0,65;0,55
"242";61;2;1;0,5;0,55
"243";61;3;1;0,5;0,55
"244";61;4;1;0,6;0,55
"245";62;1;1;0,4;0,475
"246";62;2;1;0,45;0,475
"247";62;3;1;0,55;0,475
"248";62;4;1;0,5;0,475
"249";63;1;1;0,5;0,525
"250";63;2;1;0,55;0,525
"251";63;3;1;0,55;0,525
"252";63;4;1;0,5;0,525
"253";64;1;1;0,45;0,575
"254";64;2;1;0,55;0,575
"255";64;3;1;0,6;0,575
"256";64;4;1;0,65;0,575
"257";65;1;1;0,45;0,45
"258";65;2;1;0,4;0,45
"259";65;3;1;0,45;0,45
"260";65;4;1;0,55;0,45
"261";66;1;1;0,45;0,4
"262";66;2;1;0,55;0,4
"263";66;3;1;0,35;0,4
"264";66;4;1;0,35;0,4
"265";67;1;1;0,45;0,525
"266";67;2;1;0,45;0,525
"267";67;3;1;0,6;0,525
"268";67;4;1;0,75;0,525
"269";68;1;1;0,4;0,475
"270";68;2;1;0,5;0,475
"271";68;3;1;0,45;0,475
"272";68;4;1;0,55;0,475
"273";69;1;1;0,55;0,55
"274";69;2;1;0,6;0,55
"275";69;3;1;0,55;0,55
"276";69;4;1;0,5;0,55
"277";70;1;1;0,35;0,5
"278";70;2;1;0,55;0,5
"279";70;3;1;0,45;0,5
"280";70;4;1;0,6;0,5
"281";71;1;1;0,5;0,55
"282";71;2;1;0,65;0,55
"283";71;3;1;0,6;0,55
"284";71;4;1;0,5;0,55
"285";72;1;1;0,2;0,55
"286";72;2;1;0,55;0,55
"287";72;3;1;0,55;0,55
"288";72;4;1;0,55;0,55
"289";73;1;1;0,3;0,475
"290";73;2;1;0,45;0,475
"291";73;3;1;0,5;0,475
"292";73;4;1;0,55;0,475
"293";74;1;1;0,6;0,6
"294";74;2;1;0,6;0,6
"295";74;3;1;0,5;0,6
"296";74;4;1;0,6;0,6
"297";75;1;1;0,65;0,55
"298";75;2;1;0,5;0,55
"299";75;3;1;0,55;0,55
"300";75;4;1;0,55;0,55
"301";76;1;1;0,55;0,55
"302";76;2;1;0,55;0,55
"303";76;3;1;0,6;0,55
"304";76;4;1;0,55;0,55
"305";77;1;1;0,4;0,45
"306";77;2;1;0,45;0,45
"307";77;3;1;0,45;0,45
"308";77;4;1;0,5;0,45
"309";78;1;1;0,25;0,45
"310";78;2;1;0,6;0,45
"311";78;3;1;0,45;0,45
"312";78;4;1;0,45;0,45
"313";79;1;1;0,65;0,625
"314";79;2;1;0,5;0,625
"315";79;3;1;0,6;0,625
"316";79;4;1;0,7;0,625
"317";80;1;1;0,25;0,375
"318";80;2;1;0,35;0,375
"319";80;3;1;0,4;0,375
"320";80;4;1;0,6;0,375
"321";81;1;1;0,7;0,6
"322";81;2;1;0,6;0,6
"323";81;3;1;0,45;0,6
"324";81;4;1;0,6;0,6
"325";82;1;1;0,55;0,475
"326";82;2;1;0,45;0,475
"327";82;3;1;0,5;0,475
"328";82;4;1;0,35;0,475
"329";83;1;1;0,5;0,475
"330";83;2;1;0,45;0,475
"331";83;3;1;0,45;0,475
"332";83;4;1;0,55;0,475
"333";84;1;1;0,4;0,5
"334";84;2;1;0,55;0,5
"335";84;3;1;0,45;0,5
"336";84;4;1;0,55;0,5
"337";85;1;1;0,4;0,45
