"";"Gene";"S1";"S2";"S3";"S4";"Condition"
"1";"ENSMUSG00002076161.1";446920,375804926;491359,274928482;450360,864852736;511686,296129347;"FLASH"
"2";"ENSMUSG00000051747.17";49034,8476979107;12853,3941712424;15376,9274821809;6443,94391696458;"FLASH"
"3";"ENSMUSG00000064351.1";268699,598723734;234235,901549554;232631,390961921;224210,922518974;"FLASH"
"4";"ENSMUSG00000119584.1";42331,742400311;59993,1772774799;196026,314313619;30641,3021234874;"FLASH"
"5";"ENSMUSG00000061527.8";72866,5434718486;54458,0543579088;75217,8513760183;61361,6091678296;"FLASH"
"6";"ENSMUSG00000045545.9";50627,9940411917;37183,6048067198;45186,4277525562;48355,2139526181;"FLASH"
"7";"ENSMUSG00000031972.6";19915,8408150574;2622,96744482472;4102,27679067701;1527,14831056797;"FLASH"
"8";"ENSMUSG00000030730.13";22926,7967124158;1678,57111094763;3407,231735903;969,070997294921;"FLASH"
"9";"ENSMUSG00000064341.1";114220,833656484;93898,6063354196;104333,250946314;88461,97797683;"FLASH"
"10";"ENSMUSG00000057003.13";25030,838182859;45,8859235669092;2925,61084196993;588,334517004722;"FLASH"
"11";"ENSMUSG00000064370.1";83214,4370829508;72018,4905955148;69766,0917276347;72303,790706236;"FLASH"
"12";"ENSMUSG00000067594.7";72790,9672696057;94307,3111895155;90294,4740655115;108532,589785505;"FLASH"
"13";"ENSMUSG00000064367.1";96002,9381851514;79237,5201985413;87686,166400721;75816,1477727542;"FLASH"
"14";"ENSMUSG00000025064.16";29779,0390491083;22919,4852644204;27038,7635982192;29113,313335038;"FLASH"
"15";"ENSMUSG00000026950.19";13634,9545673215;2329,51095689681;3613,10105919204;1289,29307012178;"FLASH"
"16";"ENSMUSG00000037071.4";44827,7724397209;60618,5063753917;35402,9131228569;57192,8388759105;"FLASH"
"17";"ENSMUSG00000069833.14";176427,101881293;164808,364963818;169366,236947688;188400,681424659;"FLASH"
"18";"ENSMUSG00000064345.1";64941,1190633065;50489,4555266219;56042,7293146241;47063,399448852;"FLASH"
"19";"ENSMUSG00000022565.16";29398,1349898039;24327,0092919728;24606,1059065102;28959,5058827353;"FLASH"
"20";"ENSMUSG00000064363.1";55081,9515600419;46731,0782521416;49656,0585191939;44606,6826014166;"FLASH"
"21";"ENSMUSG00000060962.14";39309,7019932903;48493,9514087121;47689,9120463142;55321,9351118355;"FLASH"
"22";"ENSMUSG00000056328.15";5267,15745498406;2552,53788772202;2769,79231746217;1175,82855612801;"FLASH"
"23";"ENSMUSG00000030695.17";13062,5907956683;5308,89464524124;5675,57171085838;5065,56019141066;"FLASH"
"24";"ENSMUSG00000019761.11";65556,8131909122;69876,7917908918;85728,5191200872;78511,5603385173;"FLASH"
"25";"ENSMUSG00000054889.11";86745,3572517406;80471,1045623401;87827,819604819;97346,6696614828;"FLASH"
"26";"ENSMUSG00000034994.11";26515,1547949102;24380,3650170506;24913,0211820557;27641,6365646447;"FLASH"
"27";"ENSMUSG00000027022.15";4876,17656871396;880,369463783723;1591,23765936712;633,720322602229;"FLASH"
"28";"ENSMUSG00000061816.16";7684,58824406131;626,396212413388;1454,30622873909;486,636693351049;"FLASH"
"29";"ENSMUSG00000057666.19";10212,8641297615;5268,34429418211;5496,14431900096;5400,91086610335;"FLASH"
"30";"ENSMUSG00000032648.15";7360,11441576499;630,664670419612;1196,49739728079;329,467329522644;"FLASH"
"31";"ENSMUSG00000041991.19";16677,1486282736;18215,6445415614;22097,8998392822;20389,9934036208;"FLASH"
"32";"ENSMUSG00000026043.19";19069,3873499366;18672,3695482274;22307,5465813472;20853,9371941731;"FLASH"
"33";"ENSMUSG00000049133.9";40598,5281622064;41001,7404932873;38270,9183284936;42937,4935288861;"FLASH"
"34";"ENSMUSG00000026923.16";16029,2086543776;14733,6499229841;14840,5340159966;15285,7712296641;"FLASH"
"35";"ENSMUSG00000023092.17";4069,02272875945;2218,53104873498;2724,46329215082;2033,95647307347;"FLASH"
"36";"ENSMUSG00000032262.14";17076,1909761163;17907,2484506117;15245,6621797168;20442,1030322698;"FLASH"
"37";"ENSMUSG00000044322.8";18827,5435027592;21049,9006576942;25076,3945441154;21348,9786663385;"FLASH"
"38";"ENSMUSG00000026131.22";15886,1177114643;14210,7638172216;14930,2477119253;17793,7572278671;"FLASH"
"39";"ENSMUSG00000019929.17";10443,6234672766;14952,4083958031;17774,6440502124;14668,0199868092;"FLASH"
"40";"ENSMUSG00000006457.5";5560,39311968664;99,2416486447106;671,436187424344;157,169363828404;"FLASH"
"41";"ENSMUSG00000030592.20";5074,69005993873;517,550533254673;1004,79339440155;440,410409872106;"FLASH"
"42";"ENSMUSG00000043165.8";15337,9383245289;20217,5513464805;22841,1069834495;20753,9203262823;"FLASH"
"43";"ENSMUSG00000059898.10";25546,7717235041;22085,0017242036;27875,4618570911;23767,8740091093;"FLASH"
"44";"ENSMUSG00000061723.20";4723,00879883495;451,3894341582;816,866810298253;279,038656636525;"FLASH"
"45";"ENSMUSG00000000184.13";13107,9365170141;11048,9035491111;11874,3159221852;12755,9328065438;"FLASH"
"46";"ENSMUSG00000074199.8";17832,9606812422;21823,5586713223;20123,2541741566;24482,2802083294;"FLASH"
"47";"ENSMUSG00000033508.9";19169,1479368972;19894,215652509;21042,1112914054;22593,7264087442;"FLASH"
"48";"ENSMUSG00000047419.6";4047,86139213143;527,154563768678;863,140190303588;347,957842914221;"FLASH"
