"";"Gene1";"Gene2";"Difference"
"1";" Neat1";" Neat1";0
"2";" Ly6c2";" Neat1";1,6
"3";" H1f3";" Neat1";0,2
"4";" H2bc15";" Neat1";0,2
"5";" Mpo";" Neat1";0,4
"6";" Ibsp";" Neat1";0
"7";" H1f5";" Neat1";0,8
"8";" Acta1";" Neat1";0,4
"9";" Ctsk";" Neat1";0,6
"10";" Scd1";" Neat1";1,2
"11";" Alas2";" Neat1";0,2
"12";" mt-Rnr2";" Neat1";0,2
"13";" Cybb";" Neat1";1,2
"14";" Rnf213";" Neat1";1,6
"15";" Cd24a";" Neat1";1
"16";" Myot";" Neat1";0,2
"17";" Serpinh1";" Neat1";1
"18";" Lgals3bp";" Neat1";1,4
"19";" Col1a2";" Neat1";0,4
"20";" Ldb3";" Neat1";0,4
"21";" Des";" Neat1";0,4
"22";" Fech";" Neat1";1
"23";" Naca";" Neat1";0
"24";" Mmp13";" Neat1";0
"25";" Itm2b";" Neat1";0,2
"26";" Ctss";" Neat1";1,2
"27";" Actn3";" Neat1";0,2
"28";" H2-Aa";" Neat1";0,8
"29";" Sparc";" Neat1";1
"30";" H3c11";" Neat1";0
"31";" Hemgn";" Neat1";1
"32";" H3c3";" Neat1";0,2
"33";" Igha";" Neat1";0,8
"34";" Myh1";" Neat1";0,4
"35";" Epb41";" Neat1";1
"36";" B2m";" Neat1";1,4
"37";" Myh2";" Neat1";1
"38";" Chad";" Neat1";0,8
"39";" Laptm5";" Neat1";1,4
"40";" Pde4dip";" Neat1";0,2
"41";" Rn18s-rs5";" Neat1";0,2
"42";" Ahnak";" Neat1";0,2
"43";" Tnc";" Neat1";0,8
"44";" Atp2a1";" Neat1";0,2
"45";" Pkm";" Neat1";0,2
"46";" Hsp90ab1";" Neat1";0,8
"47";" Igfbp4";" Neat1";0,4
"48";" Hectd4";" Neat1";0,4
"49";" Tubb5";" Neat1";0
"50";" mt-Cytb";" Neat1";0,8
"51";" Neat1";" Ly6c2";1,6
"52";" Ly6c2";" Ly6c2";0
"53";" H1f3";" Ly6c2";0,6
"54";" H2bc15";" Ly6c2";0,6
"55";" Mpo";" Ly6c2";0,4
"56";" Ibsp";" Ly6c2";1,6
"57";" H1f5";" Ly6c2";0
"58";" Acta1";" Ly6c2";1,2
"59";" Ctsk";" Ly6c2";1
"60";" Scd1";" Ly6c2";1,2
"61";" Alas2";" Ly6c2";0,6
"62";" mt-Rnr2";" Ly6c2";0,2
"63";" Cybb";" Ly6c2";0,4
"64";" Rnf213";" Ly6c2";0
"65";" Cd24a";" Ly6c2";0,6
"66";" Myot";" Ly6c2";1,4
"67";" Serpinh1";" Ly6c2";0,6
"68";" Lgals3bp";" Ly6c2";0,2
"69";" Col1a2";" Ly6c2";2
"70";" Ldb3";" Ly6c2";1,2
"71";" Des";" Ly6c2";1,2
"72";" Fech";" Ly6c2";0,6
"73";" Naca";" Ly6c2";1,6
"74";" Mmp13";" Ly6c2";1,6
"75";" Itm2b";" Ly6c2";0,6
"76";" Ctss";" Ly6c2";0,4
"77";" Actn3";" Ly6c2";1,4
"78";" H2-Aa";" Ly6c2";0
"79";" Sparc";" Ly6c2";0,6
"80";" H3c11";" Ly6c2";0,8
