"";"Gene1";"Gene2";"Difference"
"1";" Fasn";" Fasn";0
"2";" Dst";" Fasn";0,2
"3";" mt-Nd4";" Fasn";0,2
"4";" Timp2";" Fasn";1
"5";" Ttn";" Fasn";1,2
"6";" Ly6d";" Fasn";0,6
"7";" Krt79";" Fasn";0,4
"8";" Actg1";" Fasn";0
"9";" Eef2";" Fasn";0,2
"10";" Scd1";" Fasn";0
"11";" Lce1m";" Fasn";0,4
"12";" Hsp90ab1";" Fasn";0,6
"13";" Anxa8";" Fasn";0,6
"14";" Dstn";" Fasn";0,2
"15";" Rps7";" Fasn";0,4
"16";" Ly6g6c";" Fasn";0,6
"17";" Wnk1";" Fasn";0,6
"18";" Rpl18a";" Fasn";0,4
"19";" Fasn";" Dst";0,2
"20";" Dst";" Dst";0
"21";" mt-Nd4";" Dst";1,2
"22";" Timp2";" Dst";0,4
"23";" Ttn";" Dst";0,6
"24";" Ly6d";" Dst";0,4
"25";" Krt79";" Dst";1
"26";" Actg1";" Dst";0,2
"27";" Eef2";" Dst";0
"28";" Scd1";" Dst";0,2
"29";" Lce1m";" Dst";1
"30";" Hsp90ab1";" Dst";0,2
"31";" Anxa8";" Dst";0,4
"32";" Dstn";" Dst";1,2
"33";" Rps7";" Dst";1
"34";" Ly6g6c";" Dst";0,8
"35";" Wnk1";" Dst";0
"36";" Rpl18a";" Dst";0
"37";" Fasn";" mt-Nd4";0,2
"38";" Dst";" mt-Nd4";1,2
"39";" mt-Nd4";" mt-Nd4";0
"40";" Timp2";" mt-Nd4";0
"41";" Ttn";" mt-Nd4";0,6
"42";" Ly6d";" mt-Nd4";0,8
"43";" Krt79";" mt-Nd4";0,2
"44";" Actg1";" mt-Nd4";0,2
"45";" Eef2";" mt-Nd4";1,2
"46";" Scd1";" mt-Nd4";0,2
"47";" Lce1m";" mt-Nd4";0,2
"48";" Hsp90ab1";" mt-Nd4";1
"49";" Anxa8";" mt-Nd4";0,8
"50";" Dstn";" mt-Nd4";0
"51";" Rps7";" mt-Nd4";0,2
"52";" Ly6g6c";" mt-Nd4";0,4
"53";" Wnk1";" mt-Nd4";1,2
"54";" Rpl18a";" mt-Nd4";1,2
"55";" Fasn";" Timp2";1
"56";" Dst";" Timp2";0,4
"57";" mt-Nd4";" Timp2";0
"58";" Timp2";" Timp2";0
"59";" Ttn";" Timp2";1
"60";" Ly6d";" Timp2";0,8
"61";" Krt79";" Timp2";1,8
"62";" Actg1";" Timp2";1
"63";" Eef2";" Timp2";0,4
"64";" Scd1";" Timp2";1
"65";" Lce1m";" Timp2";0,2
"66";" Hsp90ab1";" Timp2";0,2
"67";" Anxa8";" Timp2";0,8
