"";" Fasn";" Dst";" mt-Nd4";" Timp2";" Ttn";" Ly6d";" Krt79";" Actg1";" Eef2";" Scd1";" Lce1m";" Hsp90ab1";" Anxa8";" Dstn";" Rps7";" Ly6g6c";" Wnk1";" Rpl18a"
" Fasn";1;-0,2;-0,6;-0,2;-0,6;-0,2;0,4;-1;-0,2;1;0,6;-0,2;-0,4;0;0,8;-0,4;-0,4;-0,8
" Dst";-0,2;1;-0,2;-0,6;-0,2;-0,6;0,8;0,2;1;-0,2;0,2;1;0,8;0,4;0,4;0;-0,8;-0,4
" mt-Nd4";-0,6;-0,2;1;-0,2;1;-0,2;-0,4;0,6;-0,2;-0,6;-1;-0,2;-0,4;-0,8;-0,8;-0,4;0,4;0,8
" Timp2";-0,2;-0,6;-0,2;1;-0,2;1;-0,8;0,2;-0,6;-0,2;0,2;-0,6;0;0,4;-0,4;0,8;0,8;0,4
" Ttn";-0,6;-0,2;1;-0,2;1;-0,2;-0,4;0,6;-0,2;-0,6;-1;-0,2;-0,4;-0,8;-0,8;-0,4;0,4;0,8
" Ly6d";-0,2;-0,6;-0,2;1;-0,2;1;-0,8;0,2;-0,6;-0,2;0,2;-0,6;0;0,4;-0,4;0,8;0,8;0,4
" Krt79";0,4;0,8;-0,4;-0,8;-0,4;-0,8;1;-0,4;0,8;0,4;0,4;0,8;0,4;0,2;0,8;-0,4;-1;-0,8
" Actg1";-1;0,2;0,6;0,2;0,6;0,2;-0,4;1;0,2;-1;-0,6;0,2;0,4;0;-0,8;0,4;0,4;0,8
" Eef2";-0,2;1;-0,2;-0,6;-0,2;-0,6;0,8;0,2;1;-0,2;0,2;1;0,8;0,4;0,4;0;-0,8;-0,4
" Scd1";1;-0,2;-0,6;-0,2;-0,6;-0,2;0,4;-1;-0,2;1;0,6;-0,2;-0,4;0;0,8;-0,4;-0,4;-0,8
" Lce1m";0,6;0,2;-1;0,2;-1;0,2;0,4;-0,6;0,2;0,6;1;0,2;0,4;0,8;0,8;0,4;-0,4;-0,8
" Hsp90ab1";-0,2;1;-0,2;-0,6;-0,2;-0,6;0,8;0,2;1;-0,2;0,2;1;0,8;0,4;0,4;0;-0,8;-0,4
" Anxa8";-0,4;0,8;-0,4;0;-0,4;0;0,4;0,4;0,8;-0,4;0,4;0,8;1;0,8;0,2;0,6;-0,4;-0,2
" Dstn";0;0,4;-0,8;0,4;-0,8;0,4;0,2;0;0,4;0;0,8;0,4;0,8;1;0,4;0,8;-0,2;-0,4
" Rps7";0,8;0,4;-0,8;-0,4;-0,8;-0,4;0,8;-0,8;0,4;0,8;0,8;0,4;0,2;0,4;1;-0,2;-0,8;-1
" Ly6g6c";-0,4;0;-0,4;0,8;-0,4;0,8;-0,4;0,4;0;-0,4;0,4;0;0,6;0,8;-0,2;1;0,4;0,2
" Wnk1";-0,4;-0,8;0,4;0,8;0,4;0,8;-1;0,4;-0,8;-0,4;-0,4;-0,8;-0,4;-0,2;-0,8;0,4;1;0,8
" Rpl18a";-0,8;-0,4;0,8;0,4;0,8;0,4;-0,8;0,8;-0,4;-0,8;-0,8;-0,4;-0,2;-0,4;-1;0,2;0,8;1
