"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"1";" Tubb5=[1.29e+04,1.44e+04]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"2";" H1f3=[1.08e+04,1.39e+04]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"3";" Tubb5=[1.29e+04,1.44e+04]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"4";" H1f5=[6.03e+03,7.86e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"5";" Tubb5=[1.29e+04,1.44e+04]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"6";" mt-Rnr2=[928,1.78e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"7";" Tubb5=[1.29e+04,1.44e+04]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"8";" H3c3=[6.33e+03,9.03e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"9";" Tubb5=[1.29e+04,1.44e+04]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"10";" H2bc15=[3.69e+03,5.77e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"11";" Tubb5=[1.29e+04,1.44e+04]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"12";" H3c11=[5.16e+03,6.37e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"13";" Tubb5=[1.29e+04,1.44e+04]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"14";" Rn18s-rs5=[8.47e+03,2.88e+04]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"15";" Tubb5=[1.29e+04,1.44e+04]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"16";" Alas2=[4.85e+03,6.54e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"17";" Tubb5=[1.29e+04,1.44e+04]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"18";" Igfbp4=[2.15e+04,2.61e+04]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"19";" Tubb5=[1.29e+04,1.44e+04]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"20";" Itm2b=[8.14e+03,8.91e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"21";" Tubb5=[1.29e+04,1.44e+04]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"22";" Mpo=[2.61e+03,3.03e+03]";" Tubb5=[1.29e+04,1.44e+04]";0,5;1;0,5;2;2
"23";" H1f3=[1.08e+04,1.39e+04]";" H1f5=[6.03e+03,7.86e+03]";0,5;1;0,5;2;2
"24";" H1f5=[6.03e+03,7.86e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"25";" H1f3=[1.08e+04,1.39e+04]";" mt-Rnr2=[928,1.78e+03]";0,5;1;0,5;2;2
"26";" mt-Rnr2=[928,1.78e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"27";" H1f3=[1.08e+04,1.39e+04]";" H3c3=[6.33e+03,9.03e+03]";0,5;1;0,5;2;2
"28";" H3c3=[6.33e+03,9.03e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"29";" H1f3=[1.08e+04,1.39e+04]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"30";" H2bc15=[3.69e+03,5.77e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"31";" H1f3=[1.08e+04,1.39e+04]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"32";" H3c11=[5.16e+03,6.37e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"33";" H1f3=[1.08e+04,1.39e+04]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"34";" Rn18s-rs5=[8.47e+03,2.88e+04]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"35";" H1f3=[1.08e+04,1.39e+04]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"36";" Alas2=[4.85e+03,6.54e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"37";" H1f3=[1.08e+04,1.39e+04]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"38";" Igfbp4=[2.15e+04,2.61e+04]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"39";" H1f3=[1.08e+04,1.39e+04]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"40";" Itm2b=[8.14e+03,8.91e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"41";" H1f3=[1.08e+04,1.39e+04]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"42";" Mpo=[2.61e+03,3.03e+03]";" H1f3=[1.08e+04,1.39e+04]";0,5;1;0,5;2;2
"43";" Myh1=[7.4e+03,1.4e+04]";" Naca=[5.28e+03,6.89e+03]";0,5;1;0,5;2;2
"44";" Naca=[5.28e+03,6.89e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"45";" Myh1=[7.4e+03,1.4e+04]";" Cd24a=[9.85e+03,1.22e+04]";0,5;1;0,5;2;2
"46";" Cd24a=[9.85e+03,1.22e+04]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"47";" Myh1=[7.4e+03,1.4e+04]";" Hectd4=[5.32e+03,7.08e+03]";0,5;1;0,5;2;2
"48";" Hectd4=[5.32e+03,7.08e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"49";" Myh1=[7.4e+03,1.4e+04]";" Epb41=[7.03e+03,8.22e+03]";0,5;1;0,5;2;2
"50";" Epb41=[7.03e+03,8.22e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"51";" Myh1=[7.4e+03,1.4e+04]";" Actn3=[3.21e+03,7.9e+03]";0,5;1;0,5;2;2
"52";" Actn3=[3.21e+03,7.9e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"53";" Myh1=[7.4e+03,1.4e+04]";" Atp2a1=[1.6e+04,3.59e+04]";0,5;1;0,5;2;2
"54";" Atp2a1=[1.6e+04,3.59e+04]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"55";" Myh1=[7.4e+03,1.4e+04]";" Acta1=[1.47e+04,3.34e+04]";0,5;1;0,5;2;2
"56";" Acta1=[1.47e+04,3.34e+04]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"57";" Myh1=[7.4e+03,1.4e+04]";" Pkm=[3.22e+03,3.94e+03]";0,5;1;0,5;2;2
"58";" Pkm=[3.22e+03,3.94e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"59";" Myh1=[7.4e+03,1.4e+04]";" Hemgn=[4.2e+03,5.12e+03]";0,5;1;0,5;2;2
"60";" Hemgn=[4.2e+03,5.12e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"61";" Myh1=[7.4e+03,1.4e+04]";" Myh2=[1.7e+03,4.58e+03]";0,5;1;0,5;2;2
"62";" Myh2=[1.7e+03,4.58e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"63";" Myh1=[7.4e+03,1.4e+04]";" Myot=[1.38e+03,3.74e+03]";0,5;1;0,5;2;2
"64";" Myot=[1.38e+03,3.74e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"65";" Myh1=[7.4e+03,1.4e+04]";" Des=[1.51e+03,3.57e+03]";0,5;1;0,5;2;2
"66";" Des=[1.51e+03,3.57e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
"67";" Myh1=[7.4e+03,1.4e+04]";" Pde4dip=[3.45e+03,6.6e+03]";0,5;1;0,5;2;2
"68";" Pde4dip=[3.45e+03,6.6e+03]";" Myh1=[7.4e+03,1.4e+04]";0,5;1;0,5;2;2
