"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"1";" Fasn=[1.51e+04,1.61e+04]";" Lce1m=[1.04e+04,1.09e+04]";0,5;1;0,5;2;2
"2";" Lce1m=[1.04e+04,1.09e+04]";" Fasn=[1.51e+04,1.61e+04]";0,5;1;0,5;2;2
"3";" Fasn=[1.51e+04,1.61e+04]";" Scd1=[5.72e+04,6.06e+04]";0,5;1;0,5;2;2
"4";" Scd1=[5.72e+04,6.06e+04]";" Fasn=[1.51e+04,1.61e+04]";0,5;1;0,5;2;2
"5";" Fasn=[1.51e+04,1.61e+04]";" Rps7=[1.26e+04,1.39e+04]";0,5;1;0,5;2;2
"6";" Rps7=[1.26e+04,1.39e+04]";" Fasn=[1.51e+04,1.61e+04]";0,5;1;0,5;2;2
"7";" Timp2=[7.04e+03,7.55e+03]";" Ly6d=[1.29e+04,1.37e+04]";0,5;1;0,5;2;2
"8";" Ly6d=[1.29e+04,1.37e+04]";" Timp2=[7.04e+03,7.55e+03]";0,5;1;0,5;2;2
"9";" Timp2=[7.04e+03,7.55e+03]";" Wnk1=[1.58e+04,1.76e+04]";0,5;1;0,5;2;2
"10";" Wnk1=[1.58e+04,1.76e+04]";" Timp2=[7.04e+03,7.55e+03]";0,5;1;0,5;2;2
"11";" Lce1m=[1.04e+04,1.09e+04]";" Scd1=[5.72e+04,6.06e+04]";0,5;1;0,5;2;2
"12";" Scd1=[5.72e+04,6.06e+04]";" Lce1m=[1.04e+04,1.09e+04]";0,5;1;0,5;2;2
"13";" Lce1m=[1.04e+04,1.09e+04]";" Rps7=[1.26e+04,1.39e+04]";0,5;1;0,5;2;2
"14";" Rps7=[1.26e+04,1.39e+04]";" Lce1m=[1.04e+04,1.09e+04]";0,5;1;0,5;2;2
"15";" Ly6d=[1.29e+04,1.37e+04]";" Wnk1=[1.58e+04,1.76e+04]";0,5;1;0,5;2;2
"16";" Wnk1=[1.58e+04,1.76e+04]";" Ly6d=[1.29e+04,1.37e+04]";0,5;1;0,5;2;2
"17";" mt-Nd4=[4.97e+04,5.51e+04]";" Actg1=[1.43e+04,1.51e+04]";0,5;1;0,5;2;2
"18";" Actg1=[1.43e+04,1.51e+04]";" mt-Nd4=[4.97e+04,5.51e+04]";0,5;1;0,5;2;2
"19";" mt-Nd4=[4.97e+04,5.51e+04]";" Ttn=[1.54e+04,4.9e+04]";0,5;1;0,5;2;2
"20";" Ttn=[1.54e+04,4.9e+04]";" mt-Nd4=[4.97e+04,5.51e+04]";0,5;1;0,5;2;2
"21";" mt-Nd4=[4.97e+04,5.51e+04]";" Rpl18a=[1.55e+04,1.88e+04]";0,5;1;0,5;2;2
"22";" Rpl18a=[1.55e+04,1.88e+04]";" mt-Nd4=[4.97e+04,5.51e+04]";0,5;1;0,5;2;2
"23";" Actg1=[1.43e+04,1.51e+04]";" Ttn=[1.54e+04,4.9e+04]";0,5;1;0,5;2;2
"24";" Ttn=[1.54e+04,4.9e+04]";" Actg1=[1.43e+04,1.51e+04]";0,5;1;0,5;2;2
"25";" Actg1=[1.43e+04,1.51e+04]";" Rpl18a=[1.55e+04,1.88e+04]";0,5;1;0,5;2;2
"26";" Rpl18a=[1.55e+04,1.88e+04]";" Actg1=[1.43e+04,1.51e+04]";0,5;1;0,5;2;2
"27";" Krt79=[6214,7632]";" Eef2=[2.65e+04,2.76e+04]";0,5;1;0,5;2;2
"28";" Eef2=[2.65e+04,2.76e+04]";" Krt79=[6214,7632]";0,5;1;0,5;2;2
"29";" Krt79=[6214,7632]";" Dst=[1.59e+04,1.78e+04]";0,5;1;0,5;2;2
"30";" Dst=[1.59e+04,1.78e+04]";" Krt79=[6214,7632]";0,5;1;0,5;2;2
"31";" Krt79=[6214,7632]";" Hsp90ab1=[1.48e+04,1.49e+04]";0,5;1;0,5;2;2
"32";" Hsp90ab1=[1.48e+04,1.49e+04]";" Krt79=[6214,7632]";0,5;1;0,5;2;2
"33";" Ttn=[1.54e+04,4.9e+04]";" Rpl18a=[1.55e+04,1.88e+04]";0,5;1;0,5;2;2
"34";" Rpl18a=[1.55e+04,1.88e+04]";" Ttn=[1.54e+04,4.9e+04]";0,5;1;0,5;2;2
"35";" Ly6g6c=[1.33e+04,1.66e+04]";" Anxa8=[1.58e+04,1.62e+04]";0,5;1;0,5;2;2
"36";" Anxa8=[1.58e+04,1.62e+04]";" Ly6g6c=[1.33e+04,1.66e+04]";0,5;1;0,5;2;2
"37";" Ly6g6c=[1.33e+04,1.66e+04]";" Dstn=[1.13e+04,1.17e+04]";0,5;1;0,5;2;2
"38";" Dstn=[1.13e+04,1.17e+04]";" Ly6g6c=[1.33e+04,1.66e+04]";0,5;1;0,5;2;2
"39";" Scd1=[5.72e+04,6.06e+04]";" Rps7=[1.26e+04,1.39e+04]";0,5;1;0,5;2;2
"40";" Rps7=[1.26e+04,1.39e+04]";" Scd1=[5.72e+04,6.06e+04]";0,5;1;0,5;2;2
"41";" Eef2=[2.65e+04,2.76e+04]";" Dst=[1.59e+04,1.78e+04]";0,5;1;0,5;2;2
"42";" Dst=[1.59e+04,1.78e+04]";" Eef2=[2.65e+04,2.76e+04]";0,5;1;0,5;2;2
"43";" Eef2=[2.65e+04,2.76e+04]";" Hsp90ab1=[1.48e+04,1.49e+04]";0,5;1;0,5;2;2
"44";" Hsp90ab1=[1.48e+04,1.49e+04]";" Eef2=[2.65e+04,2.76e+04]";0,5;1;0,5;2;2
"45";" Dst=[1.59e+04,1.78e+04]";" Hsp90ab1=[1.48e+04,1.49e+04]";0,5;1;0,5;2;2
"46";" Hsp90ab1=[1.48e+04,1.49e+04]";" Dst=[1.59e+04,1.78e+04]";0,5;1;0,5;2;2
"47";" Anxa8=[1.58e+04,1.62e+04]";" Dstn=[1.13e+04,1.17e+04]";0,5;1;0,5;2;2
"48";" Dstn=[1.13e+04,1.17e+04]";" Anxa8=[1.58e+04,1.62e+04]";0,5;1;0,5;2;2
