"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"1";" Tubb5=[1.4e+04,1.44e+04]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"2";" Hectd4=[7.11e+03,7.16e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"3";" Tubb5=[1.4e+04,1.44e+04]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"4";" H1f3=[1.18e+04,1.29e+04]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"5";" Tubb5=[1.4e+04,1.44e+04]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"6";" B2m=[2.67e+04,2.76e+04]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"7";" Tubb5=[1.4e+04,1.44e+04]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"8";" Naca=[5.17e+03,6.1e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"9";" Tubb5=[1.4e+04,1.44e+04]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"10";" H3c3=[7.84e+03,7.9e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"11";" Tubb5=[1.4e+04,1.44e+04]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"12";" Rnf213=[1.04e+04,1.1e+04]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"13";" Tubb5=[1.4e+04,1.44e+04]";" H2bc15=[4.18e+03,4.66e+03]";0,5;1;0,5;2;2
"14";" H2bc15=[4.18e+03,4.66e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"15";" Tubb5=[1.4e+04,1.44e+04]";" H3c11=[6.01e+03,6.35e+03]";0,5;1;0,5;2;2
"16";" H3c11=[6.01e+03,6.35e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"17";" Tubb5=[1.4e+04,1.44e+04]";" Hsp90ab1=[9.58e+03,1.16e+04]";0,5;1;0,5;2;2
"18";" Hsp90ab1=[9.58e+03,1.16e+04]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"19";" Tubb5=[1.4e+04,1.44e+04]";" Mpo=[2.51e+03,4.23e+03]";0,5;1;0,5;2;2
"20";" Mpo=[2.51e+03,4.23e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"21";" Tubb5=[1.4e+04,1.44e+04]";" Alas2=[5.85e+03,7.38e+03]";0,5;1;0,5;2;2
"22";" Alas2=[5.85e+03,7.38e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"23";" Tubb5=[1.4e+04,1.44e+04]";" Scd1=[3.27e+04,3.68e+04]";0,5;1;0,5;2;2
"24";" Scd1=[3.27e+04,3.68e+04]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"25";" Tubb5=[1.4e+04,1.44e+04]";" Ly6c2=[1.95e+03,2.03e+03]";0,5;1;0,5;2;2
"26";" Ly6c2=[1.95e+03,2.03e+03]";" Tubb5=[1.4e+04,1.44e+04]";0,5;1;0,5;2;2
"27";" Hectd4=[7.11e+03,7.16e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"28";" H1f3=[1.18e+04,1.29e+04]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"29";" Hectd4=[7.11e+03,7.16e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"30";" B2m=[2.67e+04,2.76e+04]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"31";" Hectd4=[7.11e+03,7.16e+03]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"32";" Naca=[5.17e+03,6.1e+03]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"33";" Hectd4=[7.11e+03,7.16e+03]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"34";" H3c3=[7.84e+03,7.9e+03]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"35";" Hectd4=[7.11e+03,7.16e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"36";" Rnf213=[1.04e+04,1.1e+04]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"37";" Hectd4=[7.11e+03,7.16e+03]";" H2bc15=[4.18e+03,4.66e+03]";0,5;1;0,5;2;2
"38";" H2bc15=[4.18e+03,4.66e+03]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"39";" Hectd4=[7.11e+03,7.16e+03]";" H3c11=[6.01e+03,6.35e+03]";0,5;1;0,5;2;2
"40";" H3c11=[6.01e+03,6.35e+03]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"41";" Hectd4=[7.11e+03,7.16e+03]";" Hsp90ab1=[9.58e+03,1.16e+04]";0,5;1;0,5;2;2
"42";" Hsp90ab1=[9.58e+03,1.16e+04]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"43";" Hectd4=[7.11e+03,7.16e+03]";" Mpo=[2.51e+03,4.23e+03]";0,5;1;0,5;2;2
"44";" Mpo=[2.51e+03,4.23e+03]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"45";" Hectd4=[7.11e+03,7.16e+03]";" Alas2=[5.85e+03,7.38e+03]";0,5;1;0,5;2;2
"46";" Alas2=[5.85e+03,7.38e+03]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"47";" Hectd4=[7.11e+03,7.16e+03]";" Scd1=[3.27e+04,3.68e+04]";0,5;1;0,5;2;2
"48";" Scd1=[3.27e+04,3.68e+04]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"49";" Hectd4=[7.11e+03,7.16e+03]";" Ly6c2=[1.95e+03,2.03e+03]";0,5;1;0,5;2;2
"50";" Ly6c2=[1.95e+03,2.03e+03]";" Hectd4=[7.11e+03,7.16e+03]";0,5;1;0,5;2;2
"51";" H1f3=[1.18e+04,1.29e+04]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"52";" B2m=[2.67e+04,2.76e+04]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"53";" H1f3=[1.18e+04,1.29e+04]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"54";" Naca=[5.17e+03,6.1e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"55";" H1f3=[1.18e+04,1.29e+04]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"56";" H3c3=[7.84e+03,7.9e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"57";" H1f3=[1.18e+04,1.29e+04]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"58";" Rnf213=[1.04e+04,1.1e+04]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"59";" H1f3=[1.18e+04,1.29e+04]";" H2bc15=[4.18e+03,4.66e+03]";0,5;1;0,5;2;2
"60";" H2bc15=[4.18e+03,4.66e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"61";" H1f3=[1.18e+04,1.29e+04]";" H3c11=[6.01e+03,6.35e+03]";0,5;1;0,5;2;2
"62";" H3c11=[6.01e+03,6.35e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"63";" H1f3=[1.18e+04,1.29e+04]";" Hsp90ab1=[9.58e+03,1.16e+04]";0,5;1;0,5;2;2
"64";" Hsp90ab1=[9.58e+03,1.16e+04]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"65";" H1f3=[1.18e+04,1.29e+04]";" Mpo=[2.51e+03,4.23e+03]";0,5;1;0,5;2;2
"66";" Mpo=[2.51e+03,4.23e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"67";" H1f3=[1.18e+04,1.29e+04]";" Alas2=[5.85e+03,7.38e+03]";0,5;1;0,5;2;2
"68";" Alas2=[5.85e+03,7.38e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"69";" H1f3=[1.18e+04,1.29e+04]";" Scd1=[3.27e+04,3.68e+04]";0,5;1;0,5;2;2
"70";" Scd1=[3.27e+04,3.68e+04]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"71";" H1f3=[1.18e+04,1.29e+04]";" Ly6c2=[1.95e+03,2.03e+03]";0,5;1;0,5;2;2
"72";" Ly6c2=[1.95e+03,2.03e+03]";" H1f3=[1.18e+04,1.29e+04]";0,5;1;0,5;2;2
"73";" Myh1=[7.87e+03,1.11e+04]";" mt-Rnr2=[2.03e+03,1.05e+04]";0,5;1;0,5;2;2
"74";" mt-Rnr2=[2.03e+03,1.05e+04]";" Myh1=[7.87e+03,1.11e+04]";0,5;1;0,5;2;2
"75";" Myh1=[7.87e+03,1.11e+04]";" mt-Cytb=[6.84e+04,7.99e+04]";0,5;1;0,5;2;2
"76";" mt-Cytb=[6.84e+04,7.99e+04]";" Myh1=[7.87e+03,1.11e+04]";0,5;1;0,5;2;2
"77";" Myh1=[7.87e+03,1.11e+04]";" Rn18s-rs5=[2.94e+04,2.09e+05]";0,5;1;0,5;2;2
"78";" Rn18s-rs5=[2.94e+04,2.09e+05]";" Myh1=[7.87e+03,1.11e+04]";0,5;1;0,5;2;2
"79";" Myh1=[7.87e+03,1.11e+04]";" Ldb3=[1.51e+03,2.25e+03]";0,5;1;0,5;2;2
"80";" Ldb3=[1.51e+03,2.25e+03]";" Myh1=[7.87e+03,1.11e+04]";0,5;1;0,5;2;2
"81";" Myh1=[7.87e+03,1.11e+04]";" Des=[1.61e+03,2.59e+03]";0,5;1;0,5;2;2
"82";" Des=[1.61e+03,2.59e+03]";" Myh1=[7.87e+03,1.11e+04]";0,5;1;0,5;2;2
"83";" Myh1=[7.87e+03,1.11e+04]";" Acta1=[1.27e+04,2.27e+04]";0,5;1;0,5;2;2
"84";" Acta1=[1.27e+04,2.27e+04]";" Myh1=[7.87e+03,1.11e+04]";0,5;1;0,5;2;2
"85";" Myh1=[7.87e+03,1.11e+04]";" Myh2=[2.56e+03,3.07e+03]";0,5;1;0,5;2;2
"86";" Myh2=[2.56e+03,3.07e+03]";" Myh1=[7.87e+03,1.11e+04]";0,5;1;0,5;2;2
"87";" B2m=[2.67e+04,2.76e+04]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"88";" Naca=[5.17e+03,6.1e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"89";" B2m=[2.67e+04,2.76e+04]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"90";" H3c3=[7.84e+03,7.9e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
