"";"LHS";"RHS";"grp"
"1";" Tubb5";" H1f3";10
"2";" H1f3";" Tubb5";10
"3";" Tubb5";" H3c3";10
"4";" H3c3";" Tubb5";10
"5";" Tubb5";" H2bc15";10
"6";" H2bc15";" Tubb5";10
"7";" Tubb5";" H3c11";10
"8";" H3c11";" Tubb5";8
"9";" Tubb5";" Alas2";8
"10";" Alas2";" Tubb5";8
"11";" Tubb5";" Mpo";8
"12";" Mpo";" Tubb5";8
"13";" H1f3";" H3c3";2
"14";" H3c3";" H1f3";2
"15";" H1f3";" H2bc15";3
"16";" H2bc15";" H1f3";3
"17";" H1f3";" H3c11";9
"18";" H3c11";" H1f3";9
"19";" H1f3";" Alas2";9
"20";" Alas2";" H1f3";9
"21";" H1f3";" Mpo";9
"22";" Mpo";" H1f3";9
"23";" Myh1";" Acta1";9
"24";" Acta1";" Myh1";4
"25";" Myh1";" Myh2";4
"26";" Myh2";" Myh1";7
"27";" Myh1";" Des";7
"28";" Des";" Myh1";7
"29";" Myh1";" Ldb3";7
"30";" Ldb3";" Myh1";7
"31";" Naca";" Hectd4";5
"32";" Hectd4";" Naca";5
"33";" mt-Rnr2";" Rn18s-rs5";5
"34";" Rn18s-rs5";" mt-Rnr2";5
"35";" H3c3";" H2bc15";6
"36";" H2bc15";" H3c3";6
"37";" H3c3";" H3c11";6
"38";" H3c11";" H3c3";6
"39";" H3c3";" Alas2";6
"40";" Alas2";" H3c3";1
"41";" H3c3";" Mpo";1
"42";" Mpo";" H3c3";10
"43";" H2bc15";" H3c11";10
"44";" H3c11";" H2bc15";10
"45";" H2bc15";" Alas2";10
"46";" Alas2";" H2bc15";10
"47";" H2bc15";" Mpo";10
"48";" Mpo";" H2bc15";10
"49";" H3c11";" Alas2";8
"50";" Alas2";" H3c11";8
"51";" H3c11";" Mpo";8
"52";" Mpo";" H3c11";8
"53";" Sparc";" Ctsk";8
"54";" Ctsk";" Sparc";2
"55";" Sparc";" Tnc";2
"56";" Tnc";" Sparc";3
"57";" Sparc";" Laptm5";3
"58";" Laptm5";" Sparc";9
"59";" Sparc";" Lgals3bp";9
"60";" Lgals3bp";" Sparc";9
"61";" Sparc";" Chad";9
"62";" Chad";" Sparc";9
"63";" Sparc";" Serpinh1";9
"64";" Serpinh1";" Sparc";9
"65";" Ly6c2";" Rnf213";4
"66";" Rnf213";" Ly6c2";4
"67";" Ctsk";" Tnc";7
"68";" Tnc";" Ctsk";7
"69";" Ctsk";" Laptm5";7
"70";" Laptm5";" Ctsk";7
"71";" Ctsk";" Lgals3bp";7
"72";" Lgals3bp";" Ctsk";5
"73";" Ctsk";" Chad";5
"74";" Chad";" Ctsk";5
"75";" Ctsk";" Serpinh1";5
"76";" Serpinh1";" Ctsk";6
"77";" Tnc";" Laptm5";6
"78";" Laptm5";" Tnc";6
"79";" Tnc";" Lgals3bp";6
"80";" Lgals3bp";" Tnc";6
"81";" Tnc";" Chad";1
"82";" Chad";" Tnc";1
"83";" Tnc";" Serpinh1";10
"84";" Serpinh1";" Tnc";10
"85";" Laptm5";" Lgals3bp";10
"86";" Lgals3bp";" Laptm5";10
"87";" Laptm5";" Chad";10
"88";" Chad";" Laptm5";10
"89";" Laptm5";" Serpinh1";10
"90";" Serpinh1";" Laptm5";8
"91";" Ibsp";" Col1a2";8
"92";" Col1a2";" Ibsp";8
"93";" Ibsp";" Mmp13";8
"94";" Mmp13";" Ibsp";8
"95";" Ibsp";" Ahnak";2
"96";" Ahnak";" Ibsp";2
"97";" Ibsp";" Neat1";3
"98";" Neat1";" Ibsp";3
"99";" Col1a2";" Mmp13";9
"100";" Mmp13";" Col1a2";9
"101";" Col1a2";" Ahnak";9
"102";" Ahnak";" Col1a2";9
"103";" Col1a2";" Neat1";9
"104";" Neat1";" Col1a2";9
"105";" Lgals3bp";" Chad";9
"106";" Chad";" Lgals3bp";4
"107";" Lgals3bp";" Serpinh1";4
"108";" Serpinh1";" Lgals3bp";7
"109";" Chad";" Serpinh1";7
"110";" Serpinh1";" Chad";7
"111";" Mmp13";" Ahnak";7
"112";" Ahnak";" Mmp13";7
"113";" Mmp13";" Neat1";5
"114";" Neat1";" Mmp13";5
"115";" Ahnak";" Neat1";5
"116";" Neat1";" Ahnak";5
