"";"LHS";"RHS"
"1";" Cybb";" Sparc"
"2";" Cybb";" Ly6c2"
"3";" Cybb";" Ctsk"
"4";" Cybb";" Tnc"
"5";" Cybb";" Laptm5"
"6";" Cybb";" Ibsp"
"7";" Cybb";" Col1a2"
"8";" Cybb";" Lgals3bp"
"9";" Cybb";" Chad"
"10";" Cybb";" Mmp13"
"11";" Cybb";" Ahnak"
"12";" Cybb";" Rnf213"
"13";" Cybb";" Serpinh1"
"14";" Cybb";" Neat1"
"15";" Sparc";" Cybb"
"16";" Sparc";" Ly6c2"
"17";" Sparc";" Ibsp"
"18";" Sparc";" Col1a2"
"19";" Sparc";" Mmp13"
"20";" Sparc";" Ahnak"
"21";" Sparc";" Rnf213"
"22";" Sparc";" Neat1"
"23";" Ly6c2";" Cybb"
"24";" Ly6c2";" Sparc"
"25";" Ly6c2";" Ctsk"
"26";" Ly6c2";" Tnc"
"27";" Ly6c2";" Laptm5"
"28";" Ly6c2";" Ibsp"
"29";" Ly6c2";" Col1a2"
"30";" Ly6c2";" Lgals3bp"
"31";" Ly6c2";" Chad"
"32";" Ly6c2";" Mmp13"
"33";" Ly6c2";" Ahnak"
"34";" Ly6c2";" Serpinh1"
"35";" Ly6c2";" Neat1"
"36";" Ctsk";" Cybb"
"37";" Ctsk";" Ly6c2"
"38";" Ctsk";" Ibsp"
"39";" Ctsk";" Col1a2"
"40";" Ctsk";" Mmp13"
"41";" Ctsk";" Ahnak"
"42";" Ctsk";" Rnf213"
"43";" Ctsk";" Neat1"
"44";" Tnc";" Cybb"
"45";" Tnc";" Ly6c2"
"46";" Tnc";" Ibsp"
"47";" Tnc";" Col1a2"
"48";" Tnc";" Mmp13"
"49";" Tnc";" Ahnak"
"50";" Tnc";" Rnf213"
"51";" Tnc";" Neat1"
"52";" Laptm5";" Cybb"
"53";" Laptm5";" Ly6c2"
"54";" Laptm5";" Ibsp"
"55";" Laptm5";" Col1a2"
"56";" Laptm5";" Mmp13"
"57";" Laptm5";" Ahnak"
"58";" Laptm5";" Rnf213"
"59";" Laptm5";" Neat1"
"60";" Ibsp";" Cybb"
"61";" Ibsp";" Sparc"
"62";" Ibsp";" Ly6c2"
"63";" Ibsp";" Ctsk"
"64";" Ibsp";" Tnc"
"65";" Ibsp";" Laptm5"
"66";" Ibsp";" Lgals3bp"
"67";" Ibsp";" Chad"
"68";" Ibsp";" Rnf213"
"69";" Ibsp";" Serpinh1"
"70";" Col1a2";" Cybb"
"71";" Col1a2";" Sparc"
"72";" Col1a2";" Ly6c2"
"73";" Col1a2";" Ctsk"
"74";" Col1a2";" Tnc"
"75";" Col1a2";" Laptm5"
"76";" Col1a2";" Lgals3bp"
"77";" Col1a2";" Chad"
"78";" Col1a2";" Rnf213"
"79";" Col1a2";" Serpinh1"
"80";" Lgals3bp";" Cybb"
"81";" Lgals3bp";" Ly6c2"
"82";" Lgals3bp";" Ibsp"
"83";" Lgals3bp";" Col1a2"
"84";" Lgals3bp";" Mmp13"
"85";" Lgals3bp";" Ahnak"
"86";" Lgals3bp";" Rnf213"
"87";" Lgals3bp";" Neat1"
"88";" Chad";" Cybb"
"89";" Chad";" Ly6c2"
"90";" Chad";" Ibsp"
"91";" Chad";" Col1a2"
"92";" Chad";" Mmp13"
"93";" Chad";" Ahnak"
"94";" Chad";" Rnf213"
"95";" Chad";" Neat1"
"96";" Mmp13";" Cybb"
"97";" Mmp13";" Sparc"
"98";" Mmp13";" Ly6c2"
"99";" Mmp13";" Ctsk"
"100";" Mmp13";" Tnc"
"101";" Mmp13";" Laptm5"
"102";" Mmp13";" Lgals3bp"
"103";" Mmp13";" Chad"
"104";" Mmp13";" Rnf213"
"105";" Mmp13";" Serpinh1"
"106";" Ahnak";" Cybb"
"107";" Ahnak";" Sparc"
"108";" Ahnak";" Ly6c2"
"109";" Ahnak";" Ctsk"
"110";" Ahnak";" Tnc"
"111";" Ahnak";" Laptm5"
"112";" Ahnak";" Lgals3bp"
"113";" Ahnak";" Chad"
"114";" Ahnak";" Rnf213"
"115";" Ahnak";" Serpinh1"
"116";" Rnf213";" Cybb"
"117";" Rnf213";" Sparc"
"118";" Rnf213";" Ctsk"
"119";" Rnf213";" Tnc"
"120";" Rnf213";" Laptm5"
"121";" Rnf213";" Ibsp"
"122";" Rnf213";" Col1a2"
"123";" Rnf213";" Lgals3bp"
"124";" Rnf213";" Chad"
"125";" Rnf213";" Mmp13"
"126";" Rnf213";" Ahnak"
"127";" Rnf213";" Serpinh1"
"128";" Rnf213";" Neat1"
"129";" Serpinh1";" Cybb"
"130";" Serpinh1";" Ly6c2"
"131";" Serpinh1";" Ibsp"
"132";" Serpinh1";" Col1a2"
"133";" Serpinh1";" Mmp13"
"134";" Serpinh1";" Ahnak"
"135";" Serpinh1";" Rnf213"
"136";" Serpinh1";" Neat1"
"137";" Neat1";" Cybb"
"138";" Neat1";" Sparc"
"139";" Neat1";" Ly6c2"
"140";" Neat1";" Ctsk"
"141";" Neat1";" Tnc"
"142";" Neat1";" Laptm5"
"143";" Neat1";" Lgals3bp"
"144";" Neat1";" Chad"
"145";" Neat1";" Rnf213"
"146";" Neat1";" Serpinh1"
"147";" Tubb5";" H1f5"
"148";" Tubb5";" mt-Rnr2"
"149";" Tubb5";" Rn18s-rs5"
"150";" Tubb5";" Igfbp4"
"151";" Tubb5";" Itm2b"
"152";" H1f5";" Tubb5"
"153";" H1f5";" H1f3"
"154";" H1f5";" mt-Rnr2"
"155";" H1f5";" H3c3"
"156";" H1f5";" H2bc15"
"157";" H1f5";" H3c11"
"158";" H1f5";" Rn18s-rs5"
"159";" H1f5";" Alas2"
"160";" H1f5";" Igfbp4"
"161";" H1f5";" Itm2b"
"162";" H1f5";" Mpo"
"163";" mt-Rnr2";" Tubb5"
"164";" mt-Rnr2";" H1f3"
"165";" mt-Rnr2";" H1f5"
"166";" mt-Rnr2";" H3c3"
"167";" mt-Rnr2";" H2bc15"
"168";" mt-Rnr2";" H3c11"
"169";" mt-Rnr2";" Alas2"
"170";" mt-Rnr2";" Igfbp4"
"171";" mt-Rnr2";" Itm2b"
"172";" mt-Rnr2";" Mpo"
"173";" Rn18s-rs5";" Tubb5"
"174";" Rn18s-rs5";" H1f3"
"175";" Rn18s-rs5";" H1f5"
"176";" Rn18s-rs5";" H3c3"
"177";" Rn18s-rs5";" H2bc15"
"178";" Rn18s-rs5";" H3c11"
"179";" Rn18s-rs5";" Alas2"
"180";" Rn18s-rs5";" Igfbp4"
"181";" Rn18s-rs5";" Itm2b"
"182";" Rn18s-rs5";" Mpo"
"183";" Igfbp4";" Tubb5"
"184";" Igfbp4";" H1f3"
"185";" Igfbp4";" H1f5"
"186";" Igfbp4";" mt-Rnr2"
"187";" Igfbp4";" H3c3"
"188";" Igfbp4";" H2bc15"
"189";" Igfbp4";" H3c11"
"190";" Igfbp4";" Rn18s-rs5"
"191";" Igfbp4";" Alas2"
"192";" Igfbp4";" Itm2b"
"193";" Igfbp4";" Mpo"
"194";" Itm2b";" Tubb5"
"195";" Itm2b";" H1f3"
"196";" Itm2b";" H1f5"
"197";" Itm2b";" mt-Rnr2"
"198";" Itm2b";" H3c3"
"199";" Itm2b";" H2bc15"
"200";" Itm2b";" H3c11"
"201";" Itm2b";" Rn18s-rs5"
"202";" Itm2b";" Alas2"
"203";" Itm2b";" Igfbp4"
"204";" Itm2b";" Mpo"
"205";" H1f3";" H1f5"
"206";" H1f3";" mt-Rnr2"
"207";" H1f3";" Rn18s-rs5"
"208";" H1f3";" Igfbp4"
"209";" H1f3";" Itm2b"
"210";" H3c3";" H1f5"
"211";" H3c3";" mt-Rnr2"
"212";" H3c3";" Rn18s-rs5"
"213";" H3c3";" Igfbp4"
"214";" H3c3";" Itm2b"
"215";" H2bc15";" H1f5"
"216";" H2bc15";" mt-Rnr2"
"217";" H2bc15";" Rn18s-rs5"
"218";" H2bc15";" Igfbp4"
"219";" H2bc15";" Itm2b"
"220";" H3c11";" H1f5"
"221";" H3c11";" mt-Rnr2"
"222";" H3c11";" Rn18s-rs5"
"223";" H3c11";" Igfbp4"
"224";" H3c11";" Itm2b"
"225";" Alas2";" H1f5"
"226";" Alas2";" mt-Rnr2"
"227";" Alas2";" Rn18s-rs5"
"228";" Alas2";" Igfbp4"
"229";" Alas2";" Itm2b"
"230";" Mpo";" H1f5"
"231";" Mpo";" mt-Rnr2"
"232";" Mpo";" Rn18s-rs5"
"233";" Mpo";" Igfbp4"
"234";" Mpo";" Itm2b"
"235";" Myh1";" Naca"
"236";" Myh1";" Cd24a"
"237";" Myh1";" Hectd4"
"238";" Myh1";" Epb41"
"239";" Myh1";" Actn3"
"240";" Myh1";" Atp2a1"
"241";" Myh1";" Pkm"
"242";" Myh1";" Hemgn"
"243";" Myh1";" Myot"
"244";" Myh1";" Pde4dip"
"245";" Myh1";" Fech"
"246";" Naca";" Myh1"
"247";" Naca";" Cd24a"
"248";" Naca";" Epb41"
"249";" Naca";" Actn3"
"250";" Naca";" Atp2a1"
"251";" Naca";" Acta1"
"252";" Naca";" Pkm"
"253";" Naca";" Hemgn"
"254";" Naca";" Myh2"
"255";" Naca";" Myot"
"256";" Naca";" Des"
"257";" Naca";" Pde4dip"
"258";" Naca";" Fech"
"259";" Naca";" Ldb3"
"260";" Cd24a";" Myh1"
"261";" Cd24a";" Naca"
"262";" Cd24a";" Hectd4"
"263";" Cd24a";" Actn3"
"264";" Cd24a";" Atp2a1"
"265";" Cd24a";" Acta1"
"266";" Cd24a";" Pkm"
"267";" Cd24a";" Myh2"
"268";" Cd24a";" Myot"
"269";" Cd24a";" Des"
"270";" Cd24a";" Pde4dip"
"271";" Cd24a";" Ldb3"
"272";" Hectd4";" Myh1"
"273";" Hectd4";" Cd24a"
"274";" Hectd4";" Epb41"
"275";" Hectd4";" Actn3"
"276";" Hectd4";" Atp2a1"
"277";" Hectd4";" Acta1"
"278";" Hectd4";" Pkm"
"279";" Hectd4";" Hemgn"
"280";" Hectd4";" Myh2"
"281";" Hectd4";" Myot"
"282";" Hectd4";" Des"
"283";" Hectd4";" Pde4dip"
"284";" Hectd4";" Fech"
"285";" Hectd4";" Ldb3"
"286";" Epb41";" Myh1"
"287";" Epb41";" Naca"
"288";" Epb41";" Hectd4"
"289";" Epb41";" Actn3"
"290";" Epb41";" Atp2a1"
"291";" Epb41";" Acta1"
"292";" Epb41";" Pkm"
"293";" Epb41";" Myh2"
"294";" Epb41";" Myot"
"295";" Epb41";" Des"
"296";" Epb41";" Pde4dip"
"297";" Epb41";" Ldb3"
"298";" Actn3";" Myh1"
"299";" Actn3";" Naca"
"300";" Actn3";" Cd24a"
"301";" Actn3";" Hectd4"
"302";" Actn3";" Epb41"
"303";" Actn3";" Acta1"
"304";" Actn3";" Hemgn"
"305";" Actn3";" Myh2"
"306";" Actn3";" Des"
"307";" Actn3";" Fech"
"308";" Actn3";" Ldb3"
"309";" Atp2a1";" Myh1"
"310";" Atp2a1";" Naca"
"311";" Atp2a1";" Cd24a"
"312";" Atp2a1";" Hectd4"
"313";" Atp2a1";" Epb41"
"314";" Atp2a1";" Acta1"
"315";" Atp2a1";" Hemgn"
"316";" Atp2a1";" Myh2"
"317";" Atp2a1";" Des"
"318";" Atp2a1";" Fech"
"319";" Atp2a1";" Ldb3"
"320";" Pkm";" Myh1"
"321";" Pkm";" Naca"
"322";" Pkm";" Cd24a"
"323";" Pkm";" Hectd4"
"324";" Pkm";" Epb41"
"325";" Pkm";" Acta1"
"326";" Pkm";" Hemgn"
"327";" Pkm";" Myh2"
"328";" Pkm";" Des"
"329";" Pkm";" Fech"
"330";" Pkm";" Ldb3"
"331";" Hemgn";" Myh1"
"332";" Hemgn";" Naca"
"333";" Hemgn";" Hectd4"
"334";" Hemgn";" Actn3"
"335";" Hemgn";" Atp2a1"
"336";" Hemgn";" Acta1"
"337";" Hemgn";" Pkm"
"338";" Hemgn";" Myh2"
"339";" Hemgn";" Myot"
"340";" Hemgn";" Des"
"341";" Hemgn";" Pde4dip"
"342";" Hemgn";" Ldb3"
"343";" Myot";" Myh1"
"344";" Myot";" Naca"
"345";" Myot";" Cd24a"
"346";" Myot";" Hectd4"
"347";" Myot";" Epb41"
"348";" Myot";" Acta1"
"349";" Myot";" Hemgn"
"350";" Myot";" Myh2"
"351";" Myot";" Des"
"352";" Myot";" Fech"
"353";" Myot";" Ldb3"
"354";" Pde4dip";" Myh1"
"355";" Pde4dip";" Naca"
"356";" Pde4dip";" Cd24a"
"357";" Pde4dip";" Hectd4"
"358";" Pde4dip";" Epb41"
"359";" Pde4dip";" Acta1"
"360";" Pde4dip";" Hemgn"
"361";" Pde4dip";" Myh2"
"362";" Pde4dip";" Des"
"363";" Pde4dip";" Fech"
"364";" Pde4dip";" Ldb3"
"365";" Fech";" Myh1"
"366";" Fech";" Naca"
"367";" Fech";" Hectd4"
"368";" Fech";" Actn3"
"369";" Fech";" Atp2a1"
"370";" Fech";" Acta1"
"371";" Fech";" Pkm"
"372";" Fech";" Myh2"
"373";" Fech";" Myot"
"374";" Fech";" Des"
"375";" Fech";" Pde4dip"
"376";" Fech";" Ldb3"
"377";" Acta1";" Naca"
"378";" Acta1";" Cd24a"
"379";" Acta1";" Hectd4"
"380";" Acta1";" Epb41"
"381";" Acta1";" Actn3"
"382";" Acta1";" Atp2a1"
"383";" Acta1";" Pkm"
"384";" Acta1";" Hemgn"
"385";" Acta1";" Myot"
"386";" Acta1";" Pde4dip"
"387";" Acta1";" Fech"
"388";" Myh2";" Naca"
"389";" Myh2";" Cd24a"
"390";" Myh2";" Hectd4"
"391";" Myh2";" Epb41"
"392";" Myh2";" Actn3"
"393";" Myh2";" Atp2a1"
"394";" Myh2";" Pkm"
"395";" Myh2";" Hemgn"
"396";" Myh2";" Myot"
"397";" Myh2";" Pde4dip"
"398";" Myh2";" Fech"
