"";"LHS";"RHS"
"1";" Fasn";" Lce1m"
"2";" Lce1m";" Fasn"
"3";" Fasn";" Rps7"
"4";" Rps7";" Fasn"
"5";" Timp2";" Ly6d"
"6";" Ly6d";" Timp2"
"7";" Timp2";" Wnk1"
"8";" Wnk1";" Timp2"
"9";" Lce1m";" Scd1"
"10";" Scd1";" Lce1m"
"11";" Lce1m";" Rps7"
"12";" Rps7";" Lce1m"
"13";" Ly6d";" Wnk1"
"14";" Wnk1";" Ly6d"
"15";" mt-Nd4";" Actg1"
"16";" Actg1";" mt-Nd4"
"17";" mt-Nd4";" Ttn"
"18";" Ttn";" mt-Nd4"
"19";" mt-Nd4";" Rpl18a"
"20";" Rpl18a";" mt-Nd4"
"21";" Actg1";" Ttn"
"22";" Ttn";" Actg1"
"23";" Actg1";" Rpl18a"
"24";" Rpl18a";" Actg1"
"25";" Krt79";" Eef2"
"26";" Eef2";" Krt79"
"27";" Krt79";" Dst"
"28";" Dst";" Krt79"
"29";" Krt79";" Hsp90ab1"
"30";" Hsp90ab1";" Krt79"
"31";" Ttn";" Rpl18a"
"32";" Rpl18a";" Ttn"
"33";" Ly6g6c";" Anxa8"
"34";" Anxa8";" Ly6g6c"
"35";" Scd1";" Rps7"
"36";" Rps7";" Scd1"
"37";" Anxa8";" Dstn"
"38";" Dstn";" Anxa8"
