"";"LHS";"RHS"
"1";" Tubb5";" Hectd4"
"2";" Hectd4";" Tubb5"
"3";" Tubb5";" B2m"
"4";" B2m";" Tubb5"
"5";" Tubb5";" Naca"
"6";" Naca";" Tubb5"
"7";" Tubb5";" Rnf213"
"8";" Rnf213";" Tubb5"
"9";" Tubb5";" Hsp90ab1"
"10";" Hsp90ab1";" Tubb5"
"11";" Tubb5";" Scd1"
"12";" Scd1";" Tubb5"
"13";" Tubb5";" Ly6c2"
"14";" Ly6c2";" Tubb5"
"15";" Hectd4";" H1f3"
"16";" H1f3";" Hectd4"
"17";" Hectd4";" B2m"
"18";" B2m";" Hectd4"
"19";" Hectd4";" H3c3"
"20";" H3c3";" Hectd4"
"21";" Hectd4";" Rnf213"
"22";" Rnf213";" Hectd4"
"23";" Hectd4";" H2bc15"
"24";" H2bc15";" Hectd4"
"25";" Hectd4";" H3c11"
"26";" H3c11";" Hectd4"
"27";" Hectd4";" Hsp90ab1"
"28";" Hsp90ab1";" Hectd4"
"29";" Hectd4";" Mpo"
"30";" Mpo";" Hectd4"
"31";" Hectd4";" Alas2"
"32";" Alas2";" Hectd4"
"33";" Hectd4";" Scd1"
"34";" Scd1";" Hectd4"
"35";" Hectd4";" Ly6c2"
"36";" Ly6c2";" Hectd4"
"37";" H1f3";" B2m"
"38";" B2m";" H1f3"
"39";" H1f3";" Naca"
"40";" Naca";" H1f3"
"41";" H1f3";" Rnf213"
"42";" Rnf213";" H1f3"
"43";" H1f3";" Hsp90ab1"
"44";" Hsp90ab1";" H1f3"
"45";" H1f3";" Scd1"
"46";" Scd1";" H1f3"
"47";" H1f3";" Ly6c2"
"48";" Ly6c2";" H1f3"
"49";" Myh1";" mt-Rnr2"
"50";" mt-Rnr2";" Myh1"
"51";" Myh1";" mt-Cytb"
"52";" mt-Cytb";" Myh1"
"53";" Myh1";" Rn18s-rs5"
"54";" Rn18s-rs5";" Myh1"
"55";" B2m";" Naca"
"56";" Naca";" B2m"
"57";" B2m";" H3c3"
"58";" H3c3";" B2m"
"59";" B2m";" Rnf213"
"60";" Rnf213";" B2m"
"61";" B2m";" H2bc15"
"62";" H2bc15";" B2m"
"63";" B2m";" H3c11"
"64";" H3c11";" B2m"
"65";" B2m";" Hsp90ab1"
"66";" Hsp90ab1";" B2m"
"67";" B2m";" Mpo"
"68";" Mpo";" B2m"
"69";" B2m";" Alas2"
"70";" Alas2";" B2m"
"71";" B2m";" Scd1"
"72";" Scd1";" B2m"
"73";" B2m";" Ly6c2"
"74";" Ly6c2";" B2m"
"75";" Naca";" H3c3"
"76";" H3c3";" Naca"
"77";" Naca";" Rnf213"
"78";" Rnf213";" Naca"
"79";" Naca";" H2bc15"
"80";" H2bc15";" Naca"
"81";" Naca";" H3c11"
"82";" H3c11";" Naca"
"83";" Naca";" Hsp90ab1"
"84";" Hsp90ab1";" Naca"
"85";" Naca";" Mpo"
"86";" Mpo";" Naca"
"87";" Naca";" Alas2"
"88";" Alas2";" Naca"
"89";" Naca";" Scd1"
"90";" Scd1";" Naca"
"91";" Naca";" Ly6c2"
"92";" Ly6c2";" Naca"
"93";" mt-Rnr2";" mt-Cytb"
"94";" mt-Cytb";" mt-Rnr2"
