"";"LHS";"RHS"
"1";" Dstn";" Wnk1"
"2";" Wnk1";" Dstn"
"3";" Dstn";" Rpl18a"
"4";" Rpl18a";" Dstn"
"5";" Dstn";" Lce1m"
"6";" Lce1m";" Dstn"
"7";" Actg1";" Anxa8"
"8";" Anxa8";" Actg1"
"9";" Rps7";" Ly6d"
"10";" Ly6d";" Rps7"
"11";" Ly6g6c";" Wnk1"
"12";" Wnk1";" Ly6g6c"
"13";" Ly6g6c";" Rpl18a"
"14";" Rpl18a";" Ly6g6c"
"15";" Ly6g6c";" Lce1m"
"16";" Lce1m";" Ly6g6c"
"17";" mt-Nd4";" Hsp90ab1"
"18";" Hsp90ab1";" mt-Nd4"
"19";" mt-Nd4";" Dst"
"20";" Dst";" mt-Nd4"
"21";" mt-Nd4";" Eef2"
"22";" Eef2";" mt-Nd4"
"23";" Krt79";" Ttn"
"24";" Ttn";" Krt79"
"25";" Krt79";" Scd1"
"26";" Scd1";" Krt79"
"27";" Krt79";" Timp2"
"28";" Timp2";" Krt79"
"29";" Krt79";" Fasn"
"30";" Fasn";" Krt79"
"31";" Ttn";" Scd1"
"32";" Scd1";" Ttn"
"33";" Ttn";" Timp2"
"34";" Timp2";" Ttn"
"35";" Ttn";" Fasn"
"36";" Fasn";" Ttn"
"37";" Wnk1";" Rpl18a"
"38";" Rpl18a";" Wnk1"
"39";" Wnk1";" Lce1m"
"40";" Lce1m";" Wnk1"
"41";" Rpl18a";" Lce1m"
"42";" Lce1m";" Rpl18a"
"43";" Scd1";" Timp2"
"44";" Timp2";" Scd1"
"45";" Timp2";" Fasn"
"46";" Fasn";" Timp2"
